127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/default/index, HTTP/1.1, 200, 1.445400
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003175
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/js/calendar.js, HTTP/1.1, 200, 0.001497
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002682
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/js/jquery.js, HTTP/1.1, 200, 0.002538
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003774
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/css/calendar.css, HTTP/1.1, 200, 0.002718
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/js/web2py.js, HTTP/1.1, 200, 0.000470
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001073
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/js/share.js, HTTP/1.1, 200, 0.001356
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/images/gplus-32.png, HTTP/1.1, 200, 0.000472
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/images/twitter.png, HTTP/1.1, 200, 0.001706
127.0.0.1, 2016-01-05 10:22:09, GET, /Teste/static/images/facebook.png, HTTP/1.1, 200, 0.001245
127.0.0.1, 2016-01-05 10:22:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
127.0.0.1, 2016-01-05 10:22:19, GET, /Teste/default/index, HTTP/1.1, 200, 0.031063
127.0.0.1, 2016-01-05 10:22:19, GET, /Teste/static/images/favicon.ico, HTTP/1.1, 200, 0.000400
127.0.0.1, 2016-01-05 10:22:25, GET, /Teste/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001102
127.0.0.1, 2016-01-05 10:22:26, GET, /Teste/default/user/login, HTTP/1.1, 200, 0.041625
127.0.0.1, 2016-01-05 10:22:36, POST, /Teste/default/user/login, HTTP/1.1, 303, 0.039438
127.0.0.1, 2016-01-05 10:22:36, GET, /Teste/default/user/login, HTTP/1.1, 200, 0.030480
